id|English|Español
HIPER_STATS_SELECTPIXEL|Click over the image preview to get pixel statistics.|Haga click sobre la imagen para obtener estadísticas del píxel.
HIPER_STATS_SHAPE|Shape|Forma
HIPER_STATS_SHAPE_KURTOSIS|Kurtosis|Curtosis
HIPER_STATS_SHAPE_SKEWNESS|Skewness (Pearson)|Asimetría (Pearson)
HIPER_STATS_SPREAD|Spread|Dispersión
HIPER_STATS_SPREAD_STDEV|Standard deviation|Desviación estándar
HIPER_STATS_SPREAD_VARIANCE|Variance|Varianza
HIPER_FUSE|Fuse hyperspectral data|Fusionar datos hiperespectrales
HIPER_REFLECT|Reflectance|Reflectancia
HIPER_REFLECT_NORM|Normalized reflectance|Reflectancia normalizada
HIPER_RED_RANGE|RED wave length range|Rango de longitud de onda RED
HIPER_NIR_RANGE|NIR wave length range|Rango de longitud de onda NIR
HIPER_PREVIEW_LOADPX|Preview data|Previsualizar datos
HIPER_LOAD_SEGMENTS|Load segments|Cargar segmentos
HIPER_SEGMENTS_FILE|Segments file|Fichero de segmentación
HIPER_COMPARE_SEGMENTS_SELECTED|Compare selection|Comparar selección
HIPER_COMPARE_SEGMENTS_ALL|Compare all|Comparar todo
MENUBAR_CONTENT|Content|Contenidos
MENUBAR_CONTENT_IMPORTCLOUD|Import point cloud|Importar nube de puntos
MENUBAR_CONTENT_IMPORTIMAGE|Import image|Importar imagen
MENUBAR_CONTENT_IMPORTMESH|Import triangle mesh|Importar malla
MENUBAR_CONTENT_NEWCAMERA|New camera|Añadir cámara
MENUBAR_CONTENT_NEWLIGHT|New light|Añadir luz
MENUBAR_DB_EXPORTDATA|Export processed data|Exportar datos procesados
MENUBAR_DB_EXPORTRESULT_INFO|Resulting data will be uploaded to remote servers. Confirm?|Los datos resultantes serán subidos a los servidores remotos. ¿Confirmar?
MENUBAR_DB_LISTRAWDATA|List data|Listar datos
MENUBAR_FILE|File|Fichero
MENUBAR_FILE_ACTIVESCENES|Active scenes|Escenas activas
